aX,aY,aZ,gX,gY,gZ
-0.608,0.824,-0.654,-24.150,-24.150,16.170
-0.691,0.940,-0.636,-15.330,-15.960,7.490
-0.794,0.866,-0.598,-14.070,-8.400,-0.910
-0.768,0.791,-0.610,-13.160,-6.790,-8.330
-0.799,0.751,-0.608,-17.640,-6.300,-16.240
-0.852,0.643,-0.602,-27.160,-6.790,-25.830
-0.843,0.525,-0.601,-38.570,-11.060,-33.740
-0.812,0.469,-0.583,-46.060,-16.520,-37.030
-0.992,0.457,-0.551,-50.120,-17.850,-38.080
-0.906,0.423,-0.554,-49.840,-17.430,-36.190
-0.888,0.395,-0.568,-48.790,-16.170,-32.060
-0.847,0.327,-0.598,-49.000,-15.820,-29.120
-0.828,0.315,-0.612,-48.020,-15.610,-25.830
-0.821,0.290,-0.748,-47.250,-13.090,-22.820
-0.808,0.256,-0.635,-47.880,-10.570,-20.580
-0.810,0.285,-0.618,-44.310,-8.260,-17.290
-0.813,0.341,-0.606,-34.790,-4.830,-13.650
-0.810,0.372,-0.593,-26.180,-2.730,-11.550
-0.806,0.415,-0.587,-19.250,-1.750,-10.640
-0.787,0.475,-0.596,-11.270,-0.980,-11.060
-0.761,0.554,-0.595,-4.200,-2.170,-12.530
-0.770,0.615,-0.596,-0.910,-2.240,-19.810
-0.773,0.665,-0.598,-1.120,-0.980,-27.440
-0.746,0.730,-0.562,-1.260,-4.200,-37.100
-0.700,0.765,-0.525,-3.640,-8.190,-47.530
-0.710,0.799,-0.493,-8.890,-11.340,-63.140
-0.711,0.855,-0.461,-14.910,-13.930,-75.110

0.625,-1.143,-0.750,13.160,14.840,-67.340
0.642,-1.143,-0.752,13.860,10.710,-62.090
0.659,-1.131,-0.739,16.450,6.860,-53.970
0.667,-1.105,-0.738,19.180,3.500,-47.110
0.657,-1.095,-0.729,21.560,1.540,-39.970
0.673,-1.105,-0.712,22.960,-1.470,-32.830
0.699,-1.137,-0.701,22.820,-3.780,-25.970
0.714,-1.147,-0.687,22.260,-6.300,-18.690
0.722,-1.181,-0.678,19.670,-8.890,-9.030
0.733,-1.206,-0.671,16.380,-11.690,-1.890
0.739,-1.209,-0.663,13.370,-14.420,5.950
0.732,-1.200,-0.662,10.920,-16.800,14.140
0.716,-1.200,-0.654,9.590,-19.180,22.470
0.715,-1.220,-0.639,6.860,-21.140,30.730
0.721,-1.256,-0.625,2.170,-23.800,38.990
0.745,-1.301,-0.615,-5.390,-27.300,49.700
0.768,-1.344,-0.620,-13.230,-30.660,58.800
0.773,-1.355,-0.622,-17.570,-33.250,68.180
0.771,-1.398,-0.630,-23.870,-35.910,77.840
0.797,-1.434,-0.641,-29.260,-42.210,88.410
0.835,-1.471,-0.652,-34.090,-46.060,99.750
0.876,-1.516,-0.672,-39.130,-50.330,112.000
0.908,-1.543,-0.679,-47.810,-55.370,128.520
0.944,-1.596,-0.690,-55.720,-61.600,140.980
0.970,-1.587,-0.682,-63.000,-68.670,153.790
0.969,-1.550,-0.677,-67.830,-76.580,166.810
0.952,-1.531,-0.659,-74.130,-87.920,179.410
0.926,-1.503,-0.640,-80.990,-96.040,190.400
0.904,-1.469,-0.615,-89.390,-104.580,200.480
0.873,-1.444,-0.582,-101.640,-113.050,212.380
0.857,-1.434,-0.570,-111.510,-121.870,219.240
0.834,-1.389,-0.555,-117.110,-130.690,227.990
0.831,-1.322,-0.529,-119.840,-137.830,236.740
0.780,-1.265,-0.511,-119.070,-143.220,245.280
0.747,-1.228,-0.487,-117.530,-143.640,252.420
0.722,-1.189,-0.454,-116.760,-143.850,259.560
0.672,-1.111,-0.427,-122.710,-145.110,270.270
0.620,-1.054,-0.466,-135.310,-146.370,275.380
0.584,-0.938,-0.506,-145.600,-148.960,280.490
0.514,-0.799,-0.506,-150.920,-152.950,285.110
0.451,-0.724,-0.505,-152.740,-154.980,287.770
0.384,-0.655,-0.496,-149.100,-153.580,291.410
0.333,-0.580,-0.490,-126.420,-150.500,295.120
0.276,-0.453,-0.489,-134.890,-147.140,296.030
0.218,-0.406,-0.485,-129.010,-143.080,294.980
0.168,-0.395,-0.467,-127.680,-140.980,292.250
0.149,-0.386,-0.465,-123.900,-139.650,288.400
0.114,-0.311,-0.441,-117.110,-138.110,285.460
0.087,-0.271,-0.409,-109.970,-136.570,280.000
0.067,-0.282,-0.404,-108.080,-134.540,273.210
0.041,-0.298,-0.392,-111.160,-134.260,262.920
0.035,-0.228,-0.372,-108.500,-135.520,255.360
0.003,-0.133,-0.374,-102.270,-134.820,249.620
-0.029,-0.098,-0.393,-95.760,-131.390,242.900
-0.049,-0.079,-0.399,-93.730,-128.450,236.180
-0.068,-0.085,-0.395,-94.430,-126.490,226.940
-0.068,-0.078,-0.382,-96.040,-126.910,219.380
-0.077,-0.020,-0.373,-93.590,-127.610,209.860
-0.211,0.032,-0.419,-89.320,-114.240,199.710
-0.103,0.074,-0.377,-83.860,-115.290,196.770
-0.140,0.138,-0.398,-75.110,-104.160,184.520
-0.156,0.188,-0.422,-70.630,-92.470,183.330
-0.248,0.187,-0.388,-70.980,-93.520,186.900
-0.208,0.138,-0.427,-69.790,-95.270,183.050
-0.218,0.182,-0.426,-68.110,-93.870,170.520
-0.232,0.250,-0.423,-64.610,-87.990,161.910
-0.254,0.232,-0.430,-59.010,-82.740,158.620
-0.303,0.221,-0.469,-52.220,-74.830,154.840
-0.293,0.260,-0.471,-47.390,-68.530,147.700
-0.261,0.293,-0.451,-43.330,-64.190,140.280
-0.299,0.298,-0.424,-37.310,-62.370,135.170
-0.354,0.256,-0.413,-35.000,-62.860,131.880
-0.316,0.300,-0.380,-33.740,-64.400,133.840
-0.318,0.284,-0.374,-30.590,-70.630,131.880
-0.345,0.296,-0.370,-29.820,-73.080,131.950
-0.377,0.307,-0.402,-30.030,-72.520,129.710
-0.423,0.493,-0.426,-21.490,-69.650,127.470
-0.447,0.435,-0.469,-13.930,-64.400,126.420
-0.446,0.444,-0.492,-7.490,-59.080,122.640
-0.459,0.479,-0.491,-1.190,-55.650,120.330
-0.480,0.485,-0.493,3.640,-51.450,118.370
-0.507,0.468,-0.475,2.800,-50.750,114.240
-0.500,0.430,-0.453,2.870,-49.910,109.410
-0.519,0.463,-0.410,5.880,-50.610,106.540
-0.567,0.489,-0.424,8.330,-49.630,104.790
-0.604,0.526,-0.454,11.130,-47.110,102.130
-0.616,0.543,-0.488,14.630,-44.590,98.420
-0.614,0.590,-0.622,17.360,-43.540,94.360
-0.639,0.599,-0.506,17.220,-42.980,88.340
-0.669,0.611,-0.506,14.630,-41.370,81.900
-0.700,0.616,-0.506,10.360,-42.000,77.490
-0.756,0.644,-0.519,6.440,-40.250,70.350
-0.779,0.692,-0.527,7.420,-38.150,65.450
-0.804,0.722,-0.534,8.890,-37.380,59.360
-0.816,0.718,-0.543,10.430,-35.140,52.850
-0.819,0.720,-0.540,13.020,-31.640,45.360
-0.824,0.704,-0.527,11.340,-29.820,40.250
-0.835,0.679,-0.520,6.230,-27.440,35.630
-0.850,0.679,-0.405,0.210,-27.790,27.090
-0.788,0.689,-0.543,2.100,-23.520,20.860
-0.842,0.658,-0.474,-8.330,-19.110,12.390
-0.949,0.672,-0.428,-8.330,-18.970,7.770
-0.905,0.685,-0.477,-9.660,-14.910,1.050
-0.885,0.672,-0.480,-12.460,-7.910,-4.340
-0.919,0.677,-0.454,-9.590,-2.870,-6.720
-0.923,0.654,-0.468,-6.440,0.700,-8.680
-0.915,0.603,-0.463,-3.500,2.310,-10.360
-0.879,0.395,-0.445,-6.930,1.610,-12.810
-0.868,0.442,-0.448,-13.230,0.700,-14.210
-0.863,0.406,-0.455,-19.740,-0.280,-14.910
-0.843,0.374,-0.466,-26.180,-1.750,-16.030
-0.838,0.374,-0.477,-30.170,-2.940,-16.380
-0.839,0.390,-0.493,-31.220,-3.080,-16.310
-0.833,0.401,-0.507,-29.890,-2.800,-15.540
-0.824,0.403,-0.528,-26.110,-2.170,-15.050
-0.811,0.405,-0.541,-22.120,-1.190,-13.580
-0.797,0.402,-0.548,-17.290,0.490,-12.320
-0.790,0.405,-0.553,-9.940,2.030,-10.990
-0.775,0.407,-0.548,-3.920,3.290,-9.800

0.460,-0.790,-1.261,-24.080,68.110,-77.700
0.477,-0.800,-1.286,-24.220,60.620,-73.920
0.481,-0.796,-1.299,-22.890,55.720,-69.090
0.486,-0.805,-1.307,-21.070,50.050,-63.490
0.488,-0.816,-1.310,-18.830,44.870,-57.260
0.495,-0.807,-1.308,-15.190,40.250,-49.490
0.505,-0.814,-1.314,-13.790,35.210,-43.330
0.529,-0.815,-1.315,-12.600,29.680,-37.870
0.553,-0.809,-1.313,-10.080,21.070,-32.200
0.583,-0.808,-1.296,-7.280,13.860,-26.670
0.602,-0.798,-1.274,-5.250,7.000,-21.420
0.611,-0.783,-1.251,-2.870,0.420,-15.330
0.620,-0.777,-1.235,-1.330,-5.390,-7.630
0.639,-0.756,-1.222,1.120,-11.270,-0.980
0.653,-0.741,-1.216,3.430,-16.660,5.390
0.664,-0.761,-1.202,3.080,-22.400,11.830
0.687,-0.761,-1.179,1.890,-28.630,18.550
0.719,-0.762,-1.163,0.840,-37.520,25.130
0.740,-0.766,-1.150,0.770,-44.240,32.410
0.757,-0.768,-1.150,2.520,-50.120,40.180
0.773,-0.772,-1.156,5.250,-55.510,48.370
0.794,-0.793,-1.164,7.420,-60.550,60.550
0.813,-0.818,-1.173,7.630,-65.520,69.860
0.844,-0.907,-1.189,-0.280,-71.820,79.030
0.896,-0.947,-1.216,-10.780,-80.150,88.060
0.939,-0.945,-1.245,-21.980,-88.200,95.900
0.982,-0.964,-1.291,-30.730,-102.200,105.980
1.011,-0.978,-1.329,-37.520,-115.010,117.880
1.045,-0.953,-1.362,-44.170,-128.030,128.870
1.053,-0.891,-1.362,-45.360,-141.750,145.040
1.030,-0.869,-1.339,-45.150,-154.490,155.330
0.986,-0.855,-1.298,-47.180,-166.530,164.990
0.934,-0.845,-1.290,-48.510,-195.160,175.770
0.890,-0.814,-1.257,-51.870,-191.310,185.290
0.855,-0.787,-1.231,-55.020,-202.230,192.850
0.805,-0.734,-1.185,-56.420,-212.240,198.590
0.738,-0.707,-1.143,-58.520,-220.710,203.210
0.682,-0.705,-1.105,-63.350,-227.080,205.380
0.636,-0.678,-1.060,-64.890,-232.260,208.530
0.595,-0.617,-0.987,-64.960,-237.300,211.470
0.532,-0.552,-0.942,-61.320,-241.150,214.340
0.441,-0.510,-0.952,-57.820,-241.220,217.770
0.407,-0.462,-0.932,-54.530,-241.640,220.990
0.394,-0.406,-0.913,-57.120,-243.740,222.670
